date,Actual,OLS_Pred,ARIMAX_Pred,regime
2021-01-01,-1367743.3394532257,-4834737.55697397,-4390673.55270443,2020+
2021-02-01,-1210609.830166089,-4401550.470616054,-4037066.3945536893,2020+
2021-03-01,-1665580.8303806852,-3891017.728741032,-3596587.5325317467,2020+
2021-04-01,299435.2277486612,-992931.9619957313,-920240.9570121781,2020+
2021-05-01,333273.2102055384,-1137258.9738302447,-1049814.2369587203,2020+
2021-06-01,367309.5620458005,-1329259.585161416,-1214510.4524263423,2020+
2021-07-01,929658.1655470183,-2251880.3320569093,-2027968.6346232858,2020+
2021-08-01,915759.6768234369,-2502217.5137256444,-2218915.5068915025,2020+
2021-09-01,843297.157629545,-2195382.6208661646,-1921548.5742045739,2020+
2021-10-01,-737138.555537626,-2536986.985109846,-2202647.3664211254,2020+
2021-11-01,-728263.9529342381,-2774339.3625665964,-2404323.203218835,2020+
2021-01-01,-1367743.3394532257,-3936640.520710291,-4380149.508945628,2020+
2021-02-01,-1210609.830166089,-3577810.8705237047,-4027389.9109681454,2020+
2021-03-01,-1665580.8303806852,-3155509.82793814,-3587966.8320088955,2020+
2021-04-01,299435.2277486612,-803499.2023296049,-918035.2169273634,2020+
2021-05-01,333273.2102055384,-919121.9800125108,-1047297.91902371,2020+
2021-06-01,367309.5620458005,-1074403.0630271826,-1211599.3729360988,2020+
2021-07-01,929658.1655470183,-1822913.9216601078,-2023107.766590495,2020+
2021-08-01,915759.6768234369,-2030838.0391017103,-2213596.9564678073,2020+
2021-09-01,843297.157629545,-1787267.4947883945,-1916942.7862627367,2020+
2021-10-01,-737138.555537626,-2071240.9914969157,-2197367.809260038,2020+
2021-11-01,-728263.9529342381,-2269617.73328473,-2398560.2471497944,2020+
2021-12-01,-761840.4915281357,-2423318.3905531215,-2569508.736569383,2020+
2021-02-01,-1210609.830166089,-3372590.270189548,-2287127.09057585,2020+
2021-03-01,-1665580.8303806852,-2948999.5559326056,-2037581.7395137986,2020+
2021-04-01,299435.2277486612,-744914.3989867425,-521345.8988888756,2020+
2021-05-01,333273.2102055384,-847597.1714682861,-594753.3003025139,2020+
2021-06-01,367309.5620458005,-989552.2959453439,-688058.968330523,2020+
2021-07-01,929658.1655470183,-1683723.2427610112,-1148909.0157090242,2020+
2021-08-01,915759.6768234369,-1886582.1299756442,-1257086.5193139417,2020+
2021-09-01,843297.157629545,-1671586.4660931714,-1088618.6519620325,2020+
2021-10-01,-737138.555537626,-1948482.3870095247,-1247870.0979821174,2020+
2021-11-01,-728263.9529342381,-2142096.6880444633,-1362125.9026826965,2020+
2021-12-01,-761840.4915281357,-2286602.806104757,-1459206.3766444626,2020+
2022-01-01,-1692738.9750950257,-2177943.9315564255,-1407703.546077793,2020+
2021-03-01,-1665580.8303806852,-3357113.5237689046,-2032697.8270226223,2020+
2021-04-01,299435.2277486612,-846011.0209095199,-520096.27780485316,2020+
2021-05-01,333273.2102055384,-961304.8403926084,-593327.728042479,2020+
2021-06-01,367309.5620458005,-1122022.983485975,-686409.7502418392,2020+
2021-07-01,929658.1655470183,-1910378.5373109353,-1146155.1789045585,2020+
2021-08-01,915759.6768234369,-2142848.0437970604,-1254073.3900651033,2020+
2021-09-01,843297.157629545,-1900407.4451864182,-1086009.3260837942,2020+
2021-10-01,-737138.555537626,-2215882.039931162,-1244879.0597353366,2020+
2021-11-01,-728263.9529342381,-2434582.2510664137,-1358861.0027933451,2020+
2021-12-01,-761840.4915281357,-2594635.562275595,-1455708.7828189784,2020+
2022-01-01,-1692738.9750950257,-2465196.831889717,-1404329.400276207,2020+
2022-02-01,-1572323.7289399637,-2141430.75191229,-1245979.1987766302,2020+
2021-04-01,299435.2277486612,-319122.28377833636,-518849.65134359105,2020+
2021-05-01,333273.2102055384,-360483.5550801574,-591905.5720251123,2020+
2021-06-01,367309.5620458005,-427096.6837471126,-684764.4846195921,2020+
2021-07-01,929658.1655470183,-749955.5182471264,-1143407.9430276114,2020+
2021-08-01,915759.6768234369,-872800.6430393185,-1251067.483551261,2020+
2021-09-01,843297.157629545,-800069.8538672352,-1083406.2546413548,2020+
2021-10-01,-737138.555537626,-953961.1547282606,-1241895.191233913,2020+
2021-11-01,-728263.9529342381,-1056576.600399435,-1355603.9294158814,2020+
2021-12-01,-761840.4915281357,-1118139.2883594907,-1452219.5737203602,2020+
2022-01-01,-1692738.9750950257,-1040914.9504459823,-1400963.3431131926,2020+
2022-02-01,-1572323.7289399637,-878148.0410012219,-1242992.6933212583,2020+
2022-03-01,-1867581.2959650105,-1150045.073740279,-1714242.7043201122,2020+
2021-05-01,333273.2102055384,-106546.73960736653,103631.00618868959,2020+
2021-06-01,367309.5620458005,-127966.74771093,119888.77246308168,2020+
2021-07-01,929658.1655470183,-244860.67907640312,200188.20703144383,2020+
2021-08-01,915759.6768234369,-319443.9346206948,219037.27169716608,2020+
2021-09-01,843297.157629545,-325262.9204570151,189683.09339719504,2020+
2021-10-01,-737138.555537626,-419262.55271123437,217431.38402925656,2020+
2021-11-01,-728263.9529342381,-485674.2496805628,237339.54403578333,2020+
2021-12-01,-761840.4915281357,-519198.6593313686,254255.03996257563,2020+
2022-01-01,-1692738.9750950257,-471239.06395144854,245281.08372801694,2020+
2022-02-01,-1572323.7289399637,-374514.4919014488,217623.53504226365,2020+
2022-03-01,-1867581.2959650105,-450049.0772302747,300130.12818374805,2020+
2022-04-01,711891.1905645793,-407106.30266171764,308183.5751846126,2020+
2021-06-01,367309.5620458005,123651.92865226393,119601.41064847741,2020+
2021-07-01,929658.1655470183,172729.75044162132,199708.37449765156,2020+
2021-08-01,915759.6768234369,141806.69252016107,218512.2595047078,2020+
2021-09-01,843297.157629545,83113.5474749764,189228.44062901995,2020+
2021-10-01,-737138.555537626,62300.28014882618,216910.22092105067,2020+
2021-11-01,-728263.9529342381,54221.79741924276,236770.6627397897,2020+
2021-12-01,-761840.4915281357,69883.78553399631,253645.61345002256,2020+
2022-01-01,-1692738.9750950257,100231.23719809645,244693.16717909867,2020+
2022-02-01,-1572323.7289399637,128244.5469581394,217101.91155709978,2020+
2022-03-01,-1867581.2959650105,229228.31468477575,299410.74301542086,2020+
2022-04-01,711891.1905645793,271397.084811809,307444.8848066326,2020+
2022-05-01,748748.0765866169,310804.0761376275,343010.1721642342,2020+
2021-07-01,929658.1655470183,391762.726382934,199382.70062327987,2020+
2021-08-01,915759.6768234369,385067.3718569625,218323.46849021374,2020+
2021-09-01,843297.157629545,300063.4040231777,189210.15489009392,2020+
2021-10-01,-737138.555537626,319921.6271119333,217055.83471503455,2020+
2021-11-01,-728263.9529342381,344490.4495330984,237111.574713803,2020+
2021-12-01,-761840.4915281357,387245.59272090445,254205.90715232826,2020+
2022-01-01,-1692738.9750950257,407767.7078569881,245422.02826351696,2020+
2022-02-01,-1572323.7289399637,397754.72823758726,217915.82102908305,2020+
2022-03-01,-1867581.2959650105,591236.474123234,300764.04145979387,2020+
2022-04-01,711891.1905645793,630624.3485729352,309071.68764131714,2020+
2022-05-01,748748.0765866169,698487.8650041637,345089.9952586678,2020+
2022-06-01,756602.7328488039,731115.4444718444,381539.7850684133,2020+
2021-08-01,915759.6768234369,554233.7892923241,503998.26088597707,2020+
2021-09-01,843297.157629545,449454.60760771483,437223.11360865587,2020+
2021-10-01,-737138.555537626,495765.1686168578,502065.28324476327,2020+
2021-11-01,-728263.9529342381,541716.2352569206,548998.9800436979,2020+
2021-12-01,-761840.4915281357,603177.7149676973,589161.6593593167,2020+
2022-01-01,-1692738.9750950257,618595.9378327902,569367.18745063,2020+
2022-02-01,-1572323.7289399637,584864.0645714578,506054.99082187674,2020+
2022-03-01,-1867581.2959650105,846529.0269606258,699141.2355017288,2020+
2022-04-01,711891.1905645793,887965.5810539846,719164.5701799893,2020+
2022-05-01,748748.0765866169,979647.9031661886,803769.4292152562,2020+
2022-06-01,756602.7328488039,1036450.1688219184,889547.2092963812,2020+
2022-07-01,821861.2914885869,1061115.2415382992,977218.2149751768,2020+
2021-09-01,843297.157629545,189673.06779859218,435409.01533227664,2020+
2021-10-01,-737138.555537626,199512.1072494195,499982.1463623748,2020+
2021-11-01,-728263.9529342381,220294.1831399244,546721.1095098727,2020+
2021-12-01,-761840.4915281357,260510.02273115097,586717.149095429,2020+
2022-01-01,-1692738.9750950257,288606.26195452013,567004.8067171199,2020+
2022-02-01,-1572323.7289399637,291402.2119347003,503955.29996951664,2020+
2022-03-01,-1867581.2959650105,439251.88062460267,696240.40566507,2020+
2022-04-01,711891.1905645793,465957.84347696893,716180.6649025781,2020+
2022-05-01,748748.0765866169,504160.2574862654,800434.4894026302,2020+
2022-06-01,756602.7328488039,506642.66918723594,885856.3688256546,2020+
2022-07-01,821861.2914885869,476925.65782158176,973163.6201783314,2020+
2022-08-01,809845.0223363979,388884.8595357588,962608.7002067362,2020+
2021-10-01,-737138.555537626,-102287.09261623693,497907.6642745491,2020+
2021-11-01,-728263.9529342381,-113165.82844842235,544452.7018718275,2020+
2021-12-01,-761840.4915281357,-100701.673274466,584282.7930024263,2020+
2022-01-01,-1692738.9750950257,-62548.56273165014,564652.2396625874,2020+
2022-02-01,-1572323.7289399637,-21054.124773475938,501864.33292432094,2020+
2022-03-01,-1867581.2959650105,9250.666400595248,693351.624779977,2020+
2022-04-01,711891.1905645793,27073.48517533904,713209.1473992821,2020+
2022-05-01,748748.0765866169,18313.244124914403,797113.3917273086,2020+
2022-06-01,756602.7328488039,-26404.816187677417,882180.8444219546,2020+
2022-07-01,821861.2914885869,-105550.23415906148,969125.84537785,2020+
